team,word,frequncy
Chelsea,first,6
Chelsea,potter,3
Chelsea,mudryk,3
Chelsea,james,3
Chelsea,2,3
Chelsea,kante,2
Chelsea,cucurella,2
Chelsea,gk,2
Chelsea,sam kerr,2
Everton,today,5
Everton,this season,5
Everton,dyche,4
Everton,first,4
Everton,iwobi,4
Everton,3,3
Everton,second,3
Everton,the season,2
Everton,1,2
Fulham,solomon,5
Fulham,willian,5
Fulham,mitrovic,4
Fulham,manor solomon,3
Fulham,mitro,3
Fulham,europe,2
Fulham,today,2
Fulham,5,2
Fulham,1,2
Liverpool,salah,10
Liverpool,this season,7
Liverpool,nunez,7
Liverpool,klopp,5
Liverpool,first,5
Liverpool,gakpo,4
Liverpool,alisson,2
Liverpool,jota,2
Liverpool,elliot,2
Manchester City,haaland,17
Manchester City,alvarez,5
Manchester City,two,5
Manchester City,kdb,5
Manchester City,de bruyne,4
Manchester City,2,4
Manchester City,foden,4
Manchester City,first,3
Manchester City,mahrez,3
Manchester City,halaand,2
Manchester United,rashford,10
Manchester United,casemiro,10
Manchester United,united,8
Manchester United,ten,8
Manchester United,bruno,4
Manchester United,two,3
Manchester United,weghorst,3
Manchester United,first,3
Manchester United,garnacho,3
Manchester United,antony,2
Southampton,saints,6
Southampton,jones,4
Southampton,walcott,3
Southampton,today,3
Southampton,james ward,3
Southampton,anthony taylor,2
Southampton,two,2
Southampton,alcaraz,2
Southampton,yesterday,2
